Elapsed time,Response Times
12:36:02.500,2341
12:36:03.0,974
12:36:03.500,4418
12:36:04.0,1044
12:36:04.500,1335
12:36:05.0,2889
12:36:05.500,2496
12:36:06.0,562
12:36:06.500,2066
12:36:07.0,1032
12:36:07.500,3506
12:36:08.0,589
12:36:08.500,2201
12:36:09.0,1801
12:36:09.500,855
12:36:10.0,2033
12:36:10.500,2774
12:36:11.0,1108
12:36:11.500,3743
12:36:12.0,2440
12:36:12.500,1064
12:36:13.0,2099
12:36:13.500,2194
12:36:14.0,1230
12:36:14.500,3519
12:36:15.0,1707
12:36:15.500,2624
12:36:16.0,588
12:36:16.500,1690
12:36:17.0,2987
12:36:17.500,1634
12:36:18.0,591
12:36:18.500,3807
12:36:19.0,1349
12:36:19.500,1876
12:36:20.0,1399
12:36:20.500,2555
12:36:21.0,617
12:36:21.500,2546
12:36:22.0,2007
12:36:22.500,3562
12:36:23.0,1878
12:36:23.500,1631
12:36:24.0,2058
12:36:24.500,1144
12:36:25.0,1670
12:36:25.500,3954
12:36:26.0,2410
12:36:26.500,1565
12:36:27.0,2131
12:36:27.500,3206
12:36:28.0,1244
12:36:28.500,1396
12:36:29.0,2661
12:36:29.500,3176
12:36:30.0,1783
12:36:30.500,878
12:36:31.0,3090
12:36:31.500,1447
12:36:32.0,1190
12:36:32.500,3481
12:36:33.0,1452
12:36:33.500,2985
12:36:34.0,1034
12:36:34.500,2748
12:36:35.0,2692
12:36:35.500,1366
12:36:36.0,2027
12:36:36.500,3215
12:36:37.0,1904
12:36:37.500,1463
12:36:38.0,3617
12:36:38.500,1469
12:36:39.0,2095
12:36:39.500,2148
12:36:40.0,1356
12:36:40.500,5422
12:36:41.0,1759
12:36:41.500,2687
12:36:42.0,2076
12:36:42.500,3867
12:36:43.0,1686
12:36:43.500,2275
12:36:44.0,1676
12:36:44.500,2129
12:36:45.0,2257
12:36:45.500,1406
12:36:46.0,1939
12:36:46.500,3390
12:36:47.0,2058
12:36:47.500,2138
12:36:48.0,1643
12:36:48.500,1922
12:36:49.0,2483
12:36:49.500,2076
12:36:50.0,2426
12:36:50.500,1832
12:36:51.0,2115
12:36:51.500,2779
12:36:52.0,2379
12:36:52.500,1504
12:36:53.0,1288
12:36:53.500,2475
12:36:54.0,1218
12:36:54.500,3111
12:36:55.0,823
12:36:55.500,3016
12:36:56.0,1463
12:36:56.500,4462
12:36:57.0,1490
12:36:57.500,1819
12:36:58.0,1457
12:36:58.500,1549
12:36:59.0,2674
12:36:59.500,1555
12:37:00.0,2773
12:37:00.500,4858
12:37:01.0,1995
12:37:01.500,2600
12:37:02.0,1722
12:37:02.500,3176
12:37:03.0,670
12:37:03.500,2495
12:37:04.0,2066
12:37:04.500,2932
12:37:05.0,667
12:37:05.500,1448
12:37:06.0,3154
12:37:06.500,980
12:37:07.0,1954
12:37:07.500,2161
12:37:08.0,1694
12:37:08.500,3355
12:37:09.0,1385
12:37:09.500,3282
12:37:10.0,1886
12:37:10.500,2337
12:37:11.0,2000
12:37:11.500,3112
12:37:12.0,1003
12:37:13.0,3692
12:37:13.500,1757
12:37:14.0,1267
12:37:14.500,1557
12:37:15.0,1406
12:37:15.500,4085
12:37:16.0,826
12:37:16.500,2557
12:37:17.0,1824
12:37:17.500,2308
12:37:18.0,2243
12:37:18.500,1453
12:37:19.0,1615
12:37:19.500,2638
12:37:20.0,1926
12:37:20.500,2751
12:37:21.0,1423
12:37:21.500,2721
12:37:22.0,2528
12:37:22.500,2180
12:37:23.0,632
12:37:23.500,3538
12:37:24.0,1180
12:37:24.500,2476
12:37:25.0,2287
12:37:25.500,2776
12:37:26.0,932
12:37:26.500,3008
12:37:27.0,1872
12:37:27.500,2511
12:37:28.0,1729
12:37:28.500,2169
12:37:29.0,841
12:37:29.500,2251
12:37:30.0,2026
12:37:30.500,2115
12:37:31.0,2413
12:37:31.500,1976
12:37:32.0,3182
12:37:32.500,2015
12:37:33.0,1054
12:37:33.500,3425
12:37:34.0,1877
12:37:34.500,1714
12:37:35.0,2694
12:37:35.500,1753
12:37:36.0,1058
12:37:36.500,1635
12:37:37.0,2703
12:37:37.500,3766
12:37:38.0,1376
12:37:38.500,1850
12:37:39.0,2576
12:37:39.500,2688
12:37:40.0,2528
12:37:40.500,2351
12:37:41.0,2069
12:37:41.500,3513
12:37:42.0,1656
12:37:42.500,2383
12:37:43.0,1138
12:37:43.500,2631
12:37:44.0,2940
12:37:44.500,2698
12:37:45.0,1352
12:37:45.500,1490
12:37:46.0,2565
12:37:46.500,2277
12:37:47.0,1866
12:37:47.500,2096
12:37:48.0,2755
12:37:48.500,1044
12:37:49.0,1848
12:37:49.500,3569
12:37:50.0,1876
12:37:50.500,2239
12:37:51.0,2705
12:37:51.500,2152
12:37:52.0,1910
12:37:52.500,1928
12:37:53.0,2090
12:37:53.500,3448
12:37:54.0,1081
12:37:54.500,3348
12:37:55.0,2499
12:37:55.500,1178
12:37:56.0,1592
12:37:56.500,2316
12:37:57.0,1249
12:37:57.500,981
12:37:58.0,2134
12:37:58.500,2139
12:37:59.0,1333
12:37:59.500,2318
12:38:00.0,2144
12:38:00.500,2636
12:38:01.0,2932
12:38:01.500,1858
12:38:02.0,1332
12:38:02.500,6533
12:38:03.0,1205
12:38:03.500,3932
12:38:04.0,1545
12:38:04.500,1210
12:38:05.0,2119
12:38:05.500,2960
12:38:06.0,1887
12:38:06.500,2369
12:38:07.0,2461
12:38:07.500,3123
12:38:08.0,1752
12:38:08.500,2652
12:38:09.0,988
12:38:09.500,3595
12:38:10.0,2674
12:38:10.500,2033
12:38:11.0,1670
12:38:11.500,3017
12:38:12.0,1219
12:38:12.500,2558
12:38:13.0,3016
12:38:13.500,3276
12:38:14.0,1803
12:38:14.500,2893
12:38:15.0,1794
12:38:15.500,3076
12:38:16.0,1591
12:38:16.500,2138
12:38:17.0,1617
12:38:17.500,3218
12:38:18.0,1697
12:38:18.500,2897
12:38:19.0,1607
12:38:19.500,2640
12:38:20.0,1981
12:38:20.500,3034
12:38:21.0,1741
12:38:21.500,3286
12:38:22.0,1236
12:38:22.500,1638
12:38:23.0,1665
12:38:23.500,3688
12:38:24.0,1088
12:38:24.500,2775
12:38:25.0,1551
12:38:25.500,3499
12:38:26.0,2600
12:38:26.500,1792
12:38:27.0,3429
12:38:27.500,2825
12:38:28.0,2124
12:38:28.500,2905
12:38:29.0,1084
12:38:29.500,1819
12:38:30.0,2314
12:38:30.500,1588
12:38:31.0,1537
12:38:31.500,2029
12:38:32.0,597
12:38:32.500,1974
12:38:33.0,1479
12:38:33.500,2201
12:38:34.0,1273
12:38:34.500,2358
12:38:35.0,2614
12:38:35.500,2727
12:38:36.0,823
12:38:36.500,1480
12:38:37.0,3453
12:38:37.500,1205
12:38:38.0,2264
12:38:38.500,2449
12:38:39.0,1176
12:38:39.500,1193
12:38:40.0,2185
12:38:40.500,2044
12:38:41.0,2529
12:38:41.500,1825
12:38:42.0,2785
12:38:42.500,3149
12:38:43.0,1566
12:38:43.500,1398
12:38:44.0,2422
12:38:44.500,1722
12:38:45.0,4005
12:38:45.500,1962
12:38:46.0,983
12:38:46.500,1635
12:38:47.0,3706
12:38:47.500,2902
12:38:48.0,4563
12:38:48.500,3470
12:38:49.0,1848
12:38:49.500,2958
12:38:50.0,2268
12:38:50.500,3439
12:38:51.0,2836
12:38:51.500,1095
12:38:52.0,1794
12:38:52.500,1382
12:38:53.0,1704
12:38:54.0,2037
12:38:54.500,1811
12:38:55.0,1705
12:38:55.500,2443
12:38:56.0,1518
12:38:56.500,3679
12:38:57.0,1779
12:38:57.500,2487
12:38:58.0,1304
12:38:58.500,3191
12:38:59.0,2300
12:38:59.500,3005
12:39:00.0,2375
12:39:00.500,1726
12:39:01.0,2297
12:39:01.500,1341
12:39:02.0,2612
12:39:02.500,4086
12:39:03.0,1842
12:39:03.500,3122
12:39:04.0,1200
12:39:04.500,1149
12:39:05.0,1971
12:39:05.500,2103
12:39:06.0,1427
12:39:06.500,2056
12:39:07.0,1094
12:39:07.500,807
12:39:08.0,2155
12:39:08.500,1483
12:39:09.0,1807
12:39:09.500,2889
12:39:10.0,1473
12:39:10.500,1876
12:39:11.0,2851
12:39:11.500,1244
12:39:12.0,2507
12:39:12.500,1186
12:39:13.0,1310
12:39:13.500,2517
12:39:14.0,1350
