Elapsed time,Server Hits per Second
12:34:48.0,1.0
12:34:51.0,1.0
12:34:53.0,1.0
12:34:54.0,1.0
12:34:56.0,1.0
12:34:57.0,1.0
12:34:58.0,1.0
12:34:59.0,1.0
12:35:00.0,1.0
12:35:01.0,1.0
12:35:02.0,1.0
12:35:03.0,2.0
12:35:04.0,1.0
12:35:05.0,1.0
12:35:06.0,2.0
12:35:07.0,1.0
12:35:08.0,2.0
12:35:09.0,2.0
12:35:10.0,1.0
12:35:11.0,2.0
12:35:12.0,2.0
12:35:13.0,2.0
12:35:14.0,2.0
12:35:15.0,2.0
12:35:16.0,2.0
12:35:17.0,2.0
12:35:18.0,2.0
12:35:19.0,2.0
12:35:20.0,2.0
12:35:21.0,2.0
12:35:22.0,2.0
12:35:23.0,3.0
12:35:24.0,2.0
12:35:25.0,2.0
12:35:26.0,3.0
12:35:27.0,2.0
12:35:28.0,3.0
12:35:29.0,3.0
12:35:30.0,2.0
12:35:31.0,3.0
12:35:32.0,3.0
12:35:33.0,3.0
12:35:34.0,3.0
12:35:35.0,3.0
12:35:36.0,3.0
12:35:37.0,3.0
12:35:38.0,4.0
12:35:39.0,3.0
12:35:40.0,3.0
12:35:41.0,4.0
12:35:42.0,3.0
12:35:43.0,4.0
12:35:44.0,4.0
12:35:45.0,3.0
12:35:46.0,4.0
12:35:47.0,4.0
12:35:48.0,4.0
12:35:49.0,4.0
12:35:50.0,4.0
12:35:51.0,4.0
12:35:52.0,4.0
12:35:53.0,4.0
12:35:54.0,4.0
12:35:55.0,4.0
12:35:56.0,4.0
12:35:57.0,4.0
12:35:58.0,5.0
12:35:59.0,4.0
12:36:00.0,4.0
12:36:01.0,5.0
12:36:02.0,4.0
12:36:03.0,5.0
12:36:04.0,5.0
12:36:05.0,4.0
12:36:06.0,5.0
12:36:07.0,5.0
12:36:08.0,5.0
12:36:09.0,5.0
12:36:10.0,5.0
12:36:11.0,5.0
12:36:12.0,4.0
12:36:13.0,6.0
12:36:14.0,5.0
12:36:15.0,5.0
12:36:16.0,6.0
12:36:17.0,5.0
12:36:18.0,6.0
12:36:19.0,6.0
12:36:20.0,5.0
12:36:21.0,6.0
12:36:22.0,6.0
12:36:23.0,6.0
12:36:24.0,6.0
12:36:25.0,6.0
12:36:26.0,6.0
12:36:27.0,6.0
12:36:28.0,6.0
12:36:29.0,6.0
12:36:30.0,6.0
12:36:31.0,6.0
12:36:32.0,7.0
12:36:33.0,7.0
12:36:34.0,6.0
12:36:35.0,6.0
12:36:36.0,7.0
12:36:37.0,6.0
12:36:38.0,7.0
12:36:39.0,6.0
12:36:40.0,6.0
12:36:41.0,7.0
12:36:42.0,7.0
12:36:43.0,7.0
12:36:44.0,8.0
12:36:45.0,7.0
12:36:46.0,6.0
12:36:47.0,6.0
12:36:48.0,8.0
12:36:49.0,7.0
12:36:50.0,7.0
12:36:51.0,7.0
12:36:52.0,7.0
12:36:53.0,8.0
12:36:54.0,7.0
12:36:55.0,7.0
12:36:56.0,7.0
12:36:57.0,7.0
12:36:58.0,8.0
12:36:59.0,7.0
12:37:00.0,7.0
12:37:01.0,7.0
12:37:02.0,7.0
12:37:03.0,7.0
12:37:04.0,7.0
12:37:05.0,7.0
12:37:06.0,7.0
12:37:07.0,8.0
12:37:08.0,8.0
12:37:09.0,6.0
12:37:10.0,7.0
12:37:11.0,7.0
12:37:12.0,6.0
12:37:13.0,8.0
12:37:14.0,6.0
12:37:15.0,6.0
12:37:16.0,7.0
12:37:17.0,6.0
12:37:18.0,7.0
12:37:19.0,8.0
12:37:20.0,7.0
12:37:21.0,6.0
12:37:22.0,6.0
12:37:23.0,8.0
12:37:24.0,7.0
12:37:25.0,7.0
12:37:26.0,7.0
12:37:27.0,7.0
12:37:28.0,8.0
12:37:29.0,6.0
12:37:30.0,6.0
12:37:31.0,7.0
12:37:32.0,7.0
12:37:33.0,8.0
12:37:34.0,8.0
12:37:35.0,8.0
12:37:36.0,7.0
12:37:37.0,7.0
12:37:38.0,7.0
12:37:39.0,7.0
12:37:40.0,7.0
12:37:41.0,7.0
12:37:42.0,8.0
12:37:43.0,8.0
12:37:44.0,5.0
12:37:45.0,7.0
12:37:46.0,7.0
12:37:47.0,6.0
12:37:48.0,8.0
12:37:49.0,6.0
12:37:50.0,6.0
12:37:51.0,7.0
12:37:52.0,6.0
12:37:53.0,7.0
12:37:54.0,8.0
12:37:55.0,7.0
12:37:56.0,6.0
12:37:57.0,7.0
12:37:58.0,8.0
12:37:59.0,7.0
12:38:00.0,7.0
12:38:01.0,7.0
12:38:02.0,7.0
12:38:03.0,7.0
12:38:04.0,7.0
12:38:05.0,6.0
12:38:06.0,7.0
12:38:07.0,7.0
12:38:08.0,8.0
12:38:09.0,8.0
12:38:10.0,8.0
12:38:11.0,7.0
12:38:12.0,7.0
12:38:13.0,7.0
12:38:14.0,7.0
12:38:15.0,7.0
12:38:16.0,7.0
12:38:17.0,8.0
12:38:18.0,8.0
12:38:19.0,5.0
12:38:20.0,7.0
12:38:21.0,7.0
12:38:22.0,5.0
12:38:23.0,9.0
12:38:24.0,6.0
12:38:25.0,6.0
12:38:26.0,5.0
12:38:27.0,5.0
12:38:28.0,7.0
12:38:29.0,8.0
12:38:30.0,7.0
12:38:31.0,8.0
12:38:32.0,8.0
12:38:33.0,8.0
12:38:34.0,7.0
12:38:35.0,7.0
12:38:36.0,6.0
12:38:37.0,7.0
12:38:38.0,7.0
12:38:39.0,7.0
12:38:40.0,6.0
12:38:41.0,7.0
12:38:42.0,8.0
12:38:43.0,8.0
12:38:44.0,8.0
12:38:45.0,8.0
12:38:46.0,7.0
12:38:47.0,7.0
12:38:48.0,7.0
12:38:49.0,7.0
12:38:50.0,7.0
12:38:51.0,7.0
12:38:52.0,8.0
12:38:53.0,8.0
12:38:54.0,5.0
12:38:55.0,7.0
12:38:56.0,7.0
12:38:57.0,5.0
12:38:58.0,8.0
12:38:59.0,6.0
12:39:00.0,6.0
12:39:01.0,6.0
12:39:02.0,5.0
12:39:03.0,8.0
12:39:04.0,8.0
12:39:05.0,7.0
12:39:06.0,8.0
12:39:07.0,8.0
12:39:08.0,7.0
12:39:09.0,7.0
12:39:10.0,7.0
12:39:11.0,6.0
