Elapsed time,Response Times,VU
12:36:02.500,2341,29.0
12:36:03.0,974,27.0
12:36:03.500,4418,27.5
12:36:04.0,1044,28.0
12:36:04.500,1335,28.0
12:36:05.0,2889,29
12:36:05.500,2496,29.0
12:36:06.0,562,28.0
12:36:06.500,2066,28.0
12:36:07.0,1032,29.2
12:36:07.500,3506,30.6
12:36:08.0,589,29.0
12:36:08.500,2201,31.0
12:36:09.0,1801,29.0
12:36:09.500,855,29.0
12:36:10.0,2033,30.6
12:36:10.500,2774,29
12:36:11.0,1108,30.8
12:36:11.500,3743,31.0
12:36:12.0,2440,30
12:36:12.500,1064,30.0
12:36:13.0,2099,31.8
12:36:13.500,2194,31.0
12:36:14.0,1230,31.8
12:36:14.500,3519,31.5
12:36:15.0,1707,32
12:36:15.500,2624,32.8
12:36:16.0,588,31.0
12:36:16.500,1690,32.0
12:36:17.0,2987,33
12:36:17.500,1634,33.0
12:36:18.0,591,32.0
12:36:18.500,3807,32
12:36:19.0,1349,33.0
12:36:19.500,1876,35.0
12:36:20.0,1399,33.0
12:36:20.500,2555,34.2
12:36:21.0,617,33.0
12:36:21.500,2546,34
12:36:22.0,2007,33
12:36:22.500,3562,34.5
12:36:23.0,1878,35.0
12:36:23.500,1631,34.0
12:36:24.0,2058,34
12:36:24.500,1144,34.25
12:36:25.0,1670,35.0
12:36:25.500,3954,37.0
12:36:26.0,2410,35
12:36:26.500,1565,35.0
12:36:27.0,2131,36.2
12:36:27.500,3206,35.0
12:36:28.0,1244,36.0
12:36:28.500,1396,36.0
12:36:29.0,2661,37.0
12:36:29.500,3176,36.5
12:36:30.0,1783,36
12:36:30.500,878,36
12:36:31.0,3090,38
12:36:31.500,1447,36
12:36:32.0,1190,38.0
12:36:32.500,3481,38.2
12:36:33.0,1452,37.5
12:36:33.500,2985,37.6
12:36:34.0,1034,37.8
12:36:34.500,2748,38
12:36:35.0,2692,38
12:36:35.500,1366,38.0
12:36:36.0,2027,38.5
12:36:36.500,3215,38.0
12:36:37.0,1904,39.0
12:36:37.500,1463,36
12:36:38.0,3617,39
12:36:38.500,1469,39.0
12:36:39.0,2095,39.8
12:36:39.500,2148,39.0
12:36:40.0,1356,39
12:36:40.500,5422,40.5
12:36:41.0,1759,40
12:36:41.500,2687,40.25
12:36:42.0,2076,40.25
12:36:42.500,3867,40.5
12:36:43.0,1686,40
12:36:43.500,2275,41.0
12:36:44.0,1676,41.0
12:36:44.500,2129,41.0
12:36:45.0,2257,41.0
12:36:45.500,1406,41.0
12:36:46.0,1939,41.0
12:36:46.500,3390,41.0
12:36:47.0,2058,41.0
12:36:47.500,2138,41.0
12:36:48.0,1643,41.0
12:36:48.500,1922,41.0
12:36:49.0,2483,41.0
12:36:49.500,2076,41.0
12:36:50.0,2426,41.0
12:36:50.500,1832,41.0
12:36:51.0,2115,41.0
12:36:51.500,2779,41.0
12:36:52.0,2379,41.0
12:36:52.500,1504,41.0
12:36:53.0,1288,41.0
12:36:53.500,2475,41.0
12:36:54.0,1218,41.0
12:36:54.500,3111,41.0
12:36:55.0,823,41.0
12:36:55.500,3016,41.0
12:36:56.0,1463,41.0
12:36:56.500,4462,41.0
12:36:57.0,1490,41.0
12:36:57.500,1819,41.0
12:36:58.0,1457,41.0
12:36:58.500,1549,41.0
12:36:59.0,2674,41.0
12:36:59.500,1555,41.0
12:37:00.0,2773,41.0
12:37:00.500,4858,41.0
12:37:01.0,1995,41.0
12:37:01.500,2600,41.0
12:37:02.0,1722,41.0
12:37:02.500,3176,41.0
12:37:03.0,670,41.0
12:37:03.500,2495,41.0
12:37:04.0,2066,41.0
12:37:04.500,2932,41.0
12:37:05.0,667,41.0
12:37:05.500,1448,41.0
12:37:06.0,3154,41.0
12:37:06.500,980,41.0
12:37:07.0,1954,41.0
12:37:07.500,2161,41.0
12:37:08.0,1694,41.0
12:37:08.500,3355,41.0
12:37:09.0,1385,41.0
12:37:09.500,3282,41.0
12:37:10.0,1886,41.0
12:37:10.500,2337,41.0
12:37:11.0,2000,41.0
12:37:11.500,3112,41.0
12:37:12.0,1003,41.0
12:37:13.0,3692,41.0
12:37:13.500,1757,41.0
12:37:14.0,1267,41.0
12:37:14.500,1557,41.0
12:37:15.0,1406,41.0
12:37:15.500,4085,41.0
12:37:16.0,826,41.0
12:37:16.500,2557,41.0
12:37:17.0,1824,41.0
12:37:17.500,2308,41.0
12:37:18.0,2243,41.0
12:37:18.500,1453,41.0
12:37:19.0,1615,41.0
12:37:19.500,2638,41.0
12:37:20.0,1926,41.0
12:37:20.500,2751,41.0
12:37:21.0,1423,41.0
